ID,Name,Phone,Payment,Points,Free_Drinks
2,Judy Baker,8588704133,Cash,0,0
3,Justin Baker,5342822716,Gift Card,0,0
4,Stephanie Ross,5412553655,Cash,0,0
5,Zachary Hicks,5289497279,Card,0,0
6,Anthony Rodriguez,9334494200,Cash,0,0
7,Rebecca Henderson,7328519983,Gift Card,0,0
8,James Ferrell,5496601541,Card,0,0
9,Tricia Valencia,6479597778,Card,0,0
10,Nathan Maldonado,9852996614,Gift Card,0,0
11,Debra Davidson,6607981523,Gift Card,0,0
12,Jeffrey Chavez,2873887099,Card,0,0
13,Sherri Baker,8882638768,Card,0,0
14,Cassandra Gaines,5906658507,Gift Card,0,0
15,Elizabeth Fowler,3737123508,Gift Card,0,0
16,Brittany Farmer,7198491096,Gift Card,0,0
17,Paula Moreno,6788538166,Card,0,0
18,Fred Smith,6015384041,Cash,0,0
19,Sherry Decker,3369851082,Gift Card,0,0
20,Anthony Humphrey,5839194729,Cash,0,0
21,Angelica Tucker,4804944352,Gift Card,0,0
22,Philip Cannon,9793261220,Card,0,0
23,John Pierce,5148532586,Cash,0,0
24,Shane Henderson,2917609352,Card,0,0
25,Joshua Blair,6455203633,Card,0,0
26,Eric Carney,2737098995,Cash,0,0
27,Jessica Holmes,6512822524,Cash,0,0
28,Danny Morgan,5909991689,Card,0,0
29,Crystal Robinson,4147179654,Gift Card,0,0
30,Mark Perez,6214291629,Gift Card,0,0
31,Shannon Jones,9625535270,Cash,0,0
32,Michael Lewis,6679447217,Gift Card,0,0
33,Timothy Duncan,4709092387,Cash,0,0
34,Richard Aguirre,7019094936,Card,0,0
35,Brent Jordan,2634651434,Gift Card,0,0
36,John Daniel,4997746034,Cash,0,0
37,Victoria Garcia,8445724784,Gift Card,0,0
38,Gerald Hensley,4229517411,Card,0,0
39,Connor West,8459041704,Card,0,0
40,Donald Wright,5242727884,Card,0,0
41,Jessica Callahan,8907778407,Card,0,0
42,Amber Kidd,6679739826,Gift Card,0,0
43,Tracy House,4892667024,Gift Card,0,0
44,Carol Tucker,9926724419,Cash,0,0
45,James Brown,9998888336,Cash,0,0
46,William Baker,2866174665,Card,0,0
47,Jordan Henderson,2365201952,Cash,0,0
48,Whitney Peters,7315228207,Cash,0,0
49,Brittney Phillips,4267323510,Gift Card,0,0
50,Lauren Daniels,3029117324,Card,0,0
51,Amy Silva,7145675656,Cash,0,0
52,Sarah Moore,9612395621,Card,0,0
53,Angela Lopez,7562085173,Cash,0,0
54,Megan Young,9926721134,Card,0,0
55,Steve Sanchez,2004379827,Gift Card,0,0
56,Lisa Barnes,9756006737,Gift Card,0,0
57,Kelly Donovan,6425933629,Cash,0,0
58,Mike Allen,5614432793,Gift Card,0,0
59,Michael Evans,8297865414,Cash,0,0
60,Paul Jones,3273236333,Card,0,0
61,Zachary Ferrell,6366601117,Gift Card,0,0
62,Daniel Baker,7906696428,Cash,0,0
63,Shirley Suarez,4607719675,Card,0,0
64,Christopher Bass,4234069274,Card,0,0
65,Lisa Archer,2834974199,Cash,0,0
66,Aimee Montoya,6832351346,Card,0,0
67,Matthew Mcmillan,4023902641,Card,0,0
68,Brian Rodriguez,2196027287,Gift Card,0,0
69,Denise Jacobs,5493294592,Gift Card,0,0
70,Christina Walters,3406153181,Cash,0,0
71,John Whitehead,6793279754,Cash,0,0
72,Anna Henderson,3365696237,Cash,0,0
73,Aaron Wise,4623081632,Gift Card,0,0
74,Deborah Figueroa,5846961570,Card,0,0
75,Jessica Smith,2188205619,Card,0,0
76,Stephen Mckee,5569462944,Cash,0,0
77,Sandra Aguilar,6374553970,Card,0,0
78,Cameron Parker,6637018276,Card,0,0
79,Rebecca Valencia,2826785539,Gift Card,0,0
80,Christine Wright,2362524244,Card,0,0
81,Richard Henson,9285161680,Card,0,0
82,Marc Moore,5685404030,Gift Card,0,0
83,Sharon Cherry,4958744620,Card,0,0
84,Sierra Johnson,6547996319,Gift Card,0,0
85,Evelyn Galvan,4744134258,Card,0,0
86,Sharon Cochran,7665543091,Gift Card,0,0
87,Richard Rodriguez,4884437187,Gift Card,0,0
88,Shannon Walker,7772379734,Card,0,0
89,Julia Torres,5439164887,Card,0,0
90,Crystal Johnson,9712805255,Cash,0,0
91,Garrett Lin,5069196170,Cash,0,0
92,Diana May,8095807704,Gift Card,0,0
93,William Herrera,8564483560,Card,0,0
94,Ashley Waller,4874293522,Gift Card,0,0
95,Victor Baker,3019791823,Cash,0,0
96,Jeffrey Chandler,2739872055,Cash,0,0
97,Larry Dixon,5454719572,Card,0,0
98,Kenneth Scott,3804361818,Card,0,0
99,April Frost,8455932165,Gift Card,0,0
100,Michelle Harmon,2864371305,Gift Card,0,0
101,Helen Jones,5184259218,Gift Card,0,0
102,Erin Edwards,5386328432,Cash,0,0
103,Michelle Evans,9986252694,Cash,0,0
104,Jason Powell,2045781991,Gift Card,0,0
105,Cameron Fisher,3589231165,Cash,0,0
